,By,Bz,PC1,PC2,PC3,PC4,SML,cpcp,hour,time,hourbin,event
528,-4.46999979019165,2.9700000286102295,102355.0124681918,-95170.85430263274,-18423.67574545385,14301.437482919548,-45.0,35.379434836442506,2.783333333333333,2010-04-05 07:55:00,,11
529,-2.569999933242798,-0.33000001311302185,92040.44129507606,-45168.104164690725,-2216.871870230305,32490.74741550223,-55.0,45.80565291238837,2.8666666666666667,2010-04-05 08:00:00,,11
530,-0.8399999737739563,-3.7200000286102295,48522.16511019433,-47840.25031151304,-15672.962645138094,56000.93330015563,-63.0,49.19820700430755,2.95,2010-04-05 08:05:00,,11
531,-1.0700000524520874,-3.380000114440918,4232.244949206021,-82888.94863533505,-30391.903066889325,31190.249589810777,-40.0,46.411074193755965,3.033333333333333,2010-04-05 08:10:00,,11
532,-3.009999990463257,-1.9199999570846558,-1439.381021584818,-66371.83428981907,-33949.13629677361,16641.627837366508,-49.0,50.315095512393526,3.1166666666666667,2010-04-05 08:15:00,,11
533,-0.8899999856948853,-3.819999933242798,-33442.72189565045,1051.265536690688,-47852.35973488415,9767.001810525324,-112.0,59.623467534197,3.2,2010-04-05 08:20:00,,11
534,0.49000000953674316,-9.329999923706055,-48931.981605776986,82630.9397490311,-92267.42938340701,-6431.207239083967,-156.0,73.22714619413301,3.283333333333333,2010-04-05 08:25:00,,11
535,-2.6600000858306885,-2.890000104904175,-51851.23817849415,-31173.143387701246,-27247.88549239494,-51981.83244141582,-209.0,67.12628112978489,-1.65,2010-08-03 04:00:00,,12
536,-2.259999990463257,-3.430000066757202,-33403.12304216983,-66637.84854740718,-17945.508616112,-22750.974126471614,-162.0,53.582027404588594,-1.5666666666666667,2010-08-03 04:05:00,-1.5,12
537,-1.940000057220459,-3.559999942779541,-62296.60855671103,-61987.83000810473,-44300.676109367836,-4167.451543585299,-331.0,60.69327033664193,-1.4833333333333334,2010-08-03 04:10:00,-1.5,12
538,-2.450000047683716,-2.950000047683716,-64005.64665825038,-58321.46262754177,-52639.34655390076,-16667.453013476737,-144.0,60.74713209318946,-1.4,2010-08-03 04:15:00,-1.5,12
539,-3.180000066757202,-1.690000057220459,-44954.639862383665,-74065.88475479328,-19523.707438159712,-18570.126171159678,-149.0,52.35914423918372,-1.3166666666666667,2010-08-03 04:20:00,-1.25,12
540,-2.9600000381469727,-1.7100000381469727,-51686.326020242836,-70329.89355801663,-4511.008244212992,-9898.91063887132,-157.0,49.06376375268944,-1.2333333333333334,2010-08-03 04:25:00,-1.25,12
541,-2.6700000762939453,-2.9700000286102295,-35239.47009545254,-55014.08309454932,-19954.32468394845,-6670.000288700121,-174.0,49.69541819869844,-1.15,2010-08-03 04:30:00,-1.25,12
542,-1.7400000095367432,-3.3399999141693115,-14248.910654306916,-47571.885415459554,-23657.233705735744,6842.208583759093,-377.0,54.231371130266616,-1.0666666666666667,2010-08-03 04:35:00,-1.0,12
543,-1.5099999904632568,-3.440000057220459,-6578.920428140149,-46014.69605944857,-30765.465833835668,4660.57533902801,-161.0,50.66331564929747,-0.9833333333333333,2010-08-03 04:40:00,-1.0,12
544,-1.409999966621399,-3.5199999809265137,11686.207734179552,-52173.46859952788,-27311.45189972796,-2703.164196230658,-153.0,48.127275396593504,-0.9,2010-08-03 04:45:00,-1.0,12
545,-1.75,-3.640000104904175,4452.338982131397,-43412.809084161054,10922.083089045685,-2017.3020220702292,-131.0,42.69410836420926,-0.8166666666666667,2010-08-03 04:50:00,-0.75,12
546,-2.5199999809265137,-3.140000104904175,13171.810636323506,-54814.725286967914,-4597.430516970478,17550.106778958172,-163.0,38.36944438996894,-0.7333333333333333,2010-08-03 04:55:00,-0.75,12
547,-1.850000023841858,-3.369999885559082,-1484.2107061762626,-29693.849811640604,-3636.6074509546356,16893.28018124922,-193.0,43.76728920380886,-0.65,2010-08-03 05:00:00,-0.75,12
548,-2.1700000762939453,-2.8499999046325684,3991.0156138400844,-27724.941517758012,-11175.600411152956,4280.8633005923375,-189.0,45.589863818844506,-0.5666666666666667,2010-08-03 05:05:00,-0.5,12
549,-3.190000057220459,-2.4600000381469727,2104.3748452167856,-34693.28710727275,-11099.634334131966,3697.547650106336,-207.0,43.379763869316214,-0.48333333333333334,2010-08-03 05:10:00,-0.5,12
550,-3.059999942779541,-2.5899999141693115,-35232.55970376179,-71712.69722341941,-3735.886983231512,9913.907620462447,-182.0,43.06620999035296,-0.4,2010-08-03 05:15:00,-0.5,12
551,-4.610000133514404,-0.2800000011920929,-45277.503475394115,-97925.51326667708,-5306.230173215365,3968.6996568444893,-215.0,42.14611302811037,-0.31666666666666665,2010-08-03 05:20:00,-0.25,12
552,-4.789999961853027,0.7400000095367432,-29647.242665567162,-107229.76147861872,-7452.154822586284,6389.554564901297,-218.0,39.25724157534313,-0.23333333333333334,2010-08-03 05:25:00,-0.25,12
553,-4.880000114440918,1.2000000476837158,-36044.59533007539,-118081.03243214404,-37149.86327828794,17745.99230286967,-191.0,43.558714655385806,-0.15,2010-08-03 05:30:00,-0.25,12
554,-4.579999923706055,0.029999999329447746,-51364.47565042192,-123393.66806031,-59695.81010439596,44025.17551386028,-187.0,48.735457533445285,-0.06666666666666667,2010-08-03 05:35:00,0.0,12
555,-4.420000076293945,-0.75,-69334.67049156076,-117726.6520982454,-21142.848306250104,34287.66892288522,-412.0,50.257190970737255,0.016666666666666666,2010-08-03 05:40:00,0.0,12
556,-4.159999847412109,-0.4699999988079071,-73916.19754322086,-106190.21893181582,-6249.472191758444,9587.131809977385,-409.0,50.53364366441012,0.1,2010-08-03 05:45:00,0.0,12
557,-4.090000152587891,-2.1700000762939453,-82406.31841380235,-109006.43099353631,-12943.737759403451,10709.41815890206,-460.0,52.56095185563669,0.18333333333333332,2010-08-03 05:50:00,0.25,12
558,-5.03000020980835,0.6800000071525574,-81840.66675736621,-125511.80947695892,-25058.328436914773,14495.303265858323,-411.0,51.07794998056327,0.26666666666666666,2010-08-03 05:55:00,0.25,12
559,-4.619999885559082,2.4000000953674316,-77598.94747801378,-120819.42787330081,-37066.94955823442,-48.94161771313668,-248.0,51.97515039388774,0.35,2010-08-03 06:00:00,0.25,12
560,-4.619999885559082,2.069999933242798,-74344.6096297832,-119851.08187618211,-41225.5619727607,-558.2354288712748,-235.0,53.04847177069721,0.43333333333333335,2010-08-03 06:05:00,0.5,12
561,-5.110000133514404,0.44999998807907104,-78799.04162884995,-123520.63929272977,-36368.91557041107,13123.585056053735,-186.0,50.20490308179611,0.5166666666666667,2010-08-03 06:10:00,0.5,12
562,-4.940000057220459,-0.3100000023841858,-79037.62343472958,-130523.31942027384,-22671.78885272662,19132.15682896061,-179.0,44.684507426700165,0.6,2010-08-03 06:15:00,0.5,12
563,-4.590000152587891,-1.0299999713897705,-80069.90054209155,-129623.468721332,-14350.614647594002,17618.106411467164,-240.0,45.62304225335849,0.6833333333333333,2010-08-03 06:20:00,0.75,12
564,-4.829999923706055,-0.20000000298023224,-82010.663155761,-135708.51740988545,-23516.568847174556,16859.764477187637,-165.0,47.58487411645509,0.7666666666666667,2010-08-03 06:25:00,0.75,12
565,-4.670000076293945,0.8799999952316284,-73753.96809081972,-143991.55619402006,-20551.58288729336,10548.169366934795,-137.0,45.16434847991185,0.85,2010-08-03 06:30:00,0.75,12
566,-4.590000152587891,0.6200000047683716,-47467.42862767098,-121268.9055234626,-5537.230635816295,-2167.188479423194,-133.0,45.82892219484551,0.9333333333333333,2010-08-03 06:35:00,1.0,12
